totaal(deaths)	crew(deaths)	passenger(deaths)	ground(deaths)	notes(deaths)	type	incident	aircraft	location	phase	airport	distance	date
137	8	126	1		COM	Delta Air Lines Flight 191	Lockheed L-1011 TriStar	ustexdalDallas–Fort Worth, Texas, US	APR [132][133]	DFW	c. 2 km (1.2 mi)	8/2/1985
135	12	121	2	1*	MIL	Indonesian Air Force (A-1324)	Lockheed C-130H-30 Hercules	indoncEast Jakarta, Indonesia	ICL [135]	HLP	3 km (1.9 mi)	10/5/1991
134	12	116	6	†	COM	United Airlines Flight 826 and TWA Flight 266	Douglas DC-8-21 and Lockheed L-1049	usnewyneNew York City, US	APR [136][137] [138]	LGA		12/16/1960
133	7	126	0	†	COM	All Nippon Airways Flight 60	Boeing 727-81	jtobTokyo Bay, Japan	APR [140]	HND	12 km (7.5 mi)	2/4/1966
133	12	119	2	†	MIL	Iran Air Tours *EP-ITD* and Iranian Air Force Su-24	Tupolev Tu-154 and Sukhoi Su-24	iratShahr-e Qods, Iran	TOF [139]	THR	15 km (9.3 mi)	2/8/1993
132	5	127	0	†	COM	US Air Flight 427	Boeing 737-3B7	uspenAliquippa, Pennsylvania, US	APR [141][142]	PIT	13 km (8.1 mi)	9/8/1994
132	7	125	0	†	COM	SAM Colombia Flight 501	Boeing 727-146	colmeLa Canada, near Medellín, Colombia	ENR [143]			5/19/1993
132	8	124	0	†	COM	Aeroflot Flight 8641	Yakovlev Yak-42	belamaMazyr, Belarus	ENR [144][145]			6/28/1982
131	7	124	0	†	COM	Air Philippines Flight 541	Boeing 737-2H4	phsSamal, Philippines	APR [146]	DVO	7.5 km (4.7 mi)	4/19/2000
131	4	127	0		COM	Tan-Sahsa Flight 414	Boeing 727-224	hoTegucigalpa, Honduras	APR [147]	TGU	9 km (5.6 mi)	10/21/1989
131	6	125	0		COM	Indian Airlines Flight 113	Boeing 737-2A8	indiahAhmedabad, India	APR [148]	AMD	5 km (3.1 mi)	10/19/1988
131	6	125	0		COM	TAP Portugal Flight 425	Boeing 727-282Adv	porsSanta Cruz, Madeira	LDG [149]	FNC		11/19/1977
